Car,Price,Miles Driven,Location,Posted,Link
2013 TOYOTA SIENNA LE 8-PASSENGER MINI VAN CLEAN TITLE 168K LEATHER,"$8,700",168k mi,Austin,12/09,https://austin.craigslist.org/ctd/d/austin-2013-toyota-sienna-le-passenger/7665014436.html
2018 Silverado Crew cab 6.0L Automatic LONG BASE 4X4 Well Maintained,"$26,850",92k mi,WOODLAND,12/09,https://austin.craigslist.org/ctd/d/spring-2018-silverado-crew-cab-60l/7665007496.html
2017 Ford F150 F 150 F-150 XLSuperCab 65 ft Box for only $357/mo!,"$19,987",131k mi,DAISY MOTOR GROUP,12/09,https://austin.craigslist.org/ctd/d/round-rock-2017-ford-f150-150-150/7665006028.html
2009 Toyota Camry,"$8,000",149k mi,Pflugerville,12/09,https://austin.craigslist.org/cto/d/pflugerville-2009-toyota-camry/7664996729.html
2019 BMW 5 series sean,"$29,000",49k mi,LaGrange,12/09,https://austin.craigslist.org/cto/d/warda-2019-bmw-series-sean/7664994104.html
2019 Ford Super Duty F-350 DRW FLATBED,"$45,788",136k mi,CALL/TEXT FOR MORE 3612492821,12/09,https://austin.craigslist.org/ctd/d/corpus-christi-2019-ford-super-duty-350/7664993698.html
2010 Subaru outback AWD 2.5 4-cylinder runs great. No problems. Ice,"$4,300",186k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-2010-subaru-outback-awd-25/7664993669.html
2016 Ford F150 F 150 F-150 XLT SuperCrew for only $447/mo!,"$24,988",92k mi,DAISY MOTOR GROUP,12/09,https://austin.craigslist.org/ctd/d/round-rock-2016-ford-f150-150-150-xlt/7664992789.html
2011 Toyota Camry LE - 1 Owner - 144K Miles - New Tires,"$9,500",145k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-2011-toyota-camry-le-owner-144k/7664990042.html
2012 Nissan Juke SL,"$8,000",146k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-2012-nissan-juke-sl/7664989855.html
2019 Ford Transit Connect XLT W/REAR LIFTGATE,"$25,500",40k mi,Subaru of Georgetown,12/09,https://austin.craigslist.org/ctd/d/georgetown-2019-ford-transit-connect/7664989076.html
2008 BMW 528i,"$3,600",144k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-2008-bmw-528i/7664986598.html
2017 Ford Super Duty F-350 DRW SUPER DUTY,"$37,788",103k mi,CALL/TEXT FOR MORE 3612492821,12/09,https://austin.craigslist.org/ctd/d/corpus-christi-2017-ford-super-duty-350/7664977129.html
2020 Ford F150 F 150 F-150 XLSuperCab 65 ft Box for only $476/mo!,"$26,628",100k mi,DAISY MOTOR GROUP,12/09,https://austin.craigslist.org/ctd/d/round-rock-2020-ford-f150-150-150/7664975497.html
2019 Nissan Sentra S,"$3,100",17k mi,"Coupland, TX",12/09,https://austin.craigslist.org/cto/d/coupland-2019-nissan-sentra/7664972561.html
For sale,"$7,000",60k mi,Georgetown,12/09,https://austin.craigslist.org/cto/d/georgetown-for-sale/7664971534.html
2019 RAM 2500 TRADESMAN,"$34,788",101k mi,CALL/TEXT FOR MORE 3612492821,12/09,https://austin.craigslist.org/ctd/d/corpus-christi-2019-ram-2500-tradesman/7664963739.html
2016 Ford Super Duty F-250 SRW SUPER DUTY,"$23,788",178k mi,CALL/TEXT FOR MORE 3612492821,12/09,https://austin.craigslist.org/ctd/d/corpus-christi-2016-ford-super-duty-250/7664961497.html
2017 Chevrolet Express Commercial Cutaway BOX VAN,"$24,788",134k mi,CALL/TEXT FOR MORE 3612492821,12/09,https://austin.craigslist.org/ctd/d/corpus-christi-2017-chevrolet-express/7664960756.html
2022 MINI Countryman Cooper ALL4,"$28,986",38k mi,6731 IH 35 S SAN ANTONIO TX 78224,12/09,https://austin.craigslist.org/ctd/d/san-antonio-2022-mini-countryman-cooper/7664960112.html
2012 Dodge Challenger 2dr Cpe R/T Classic,"$26,986",35k mi,6731 IH 35 S SAN ANTONIO TX 78224,12/09,https://austin.craigslist.org/ctd/d/san-antonio-2012-dodge-challenger-2dr/7664959512.html
2021 Toyota Camry SE Auto (Natl),"$23,986",87k mi,6731 IH 35 S SAN ANTONIO TX 78224,12/09,https://austin.craigslist.org/ctd/d/san-antonio-2021-toyota-camry-se-auto/7664958835.html
2023 dodge challenger gt cash price my personal vehicle,"$20,000",43k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-2023-dodge-challenger-gt-cash/7664957636.html
2017 Ford F150 F 150 F-150 XLSuperCrew 55 ft Box for only $483/mo!,"$26,999",110k mi,DAISY MOTOR GROUP,12/09,https://austin.craigslist.org/ctd/d/round-rock-2017-ford-f150-150-150/7664956470.html
1967 Chevrolet Elcamino,"$1,700",76k mi,Rockdale,12/09,https://austin.craigslist.org/cto/d/rockdale-1967-chevrolet-elcamino/7664956239.html
Range Rover Sport HSE,"$2,000",198k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-range-rover-sport-hse/7664956081.html
1974 JEEP CJ 5 4x4,"$7,500",50k mi,Rockdale,12/09,https://austin.craigslist.org/cto/d/rockdale-1974-jeep-cj-4x4/7664955898.html
2014 FORD F-150,"$21,900",105k mi,Austin,12/09,https://austin.craigslist.org/ctd/d/austin-2014-ford-150/7664953625.html
Selling my car. I have the title.,"$1,600",65k mi,Austin,12/09,https://austin.craigslist.org/cto/d/pflugerville-selling-my-car-have-the/7664947614.html
1970 PONTIAC GTO,"$35,000",37k mi,Kerrville,12/09,https://austin.craigslist.org/cto/d/kerrville-1970-pontiac-gto/7664947069.html
Toyota Camry SE,"$17,500",89k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-toyota-camry-se/7664943484.html
2011 JEEP WRANGLER SPORT,"$22,000",52k mi,LAGO VISTA,12/09,https://austin.craigslist.org/cto/d/leander-2011-jeep-wrangler-sport/7664942113.html
2015 Ford Econoline BOX VAN 10,"$17,788",185k mi,CALL/TEXT FOR MORE 3612492821,12/09,https://austin.craigslist.org/ctd/d/corpus-christi-2015-ford-econoline-box/7664941265.html
2016 BMW 328D,"$12,999",121k mi,Jarrell,12/09,https://austin.craigslist.org/cto/d/jarrell-2016-bmw-328d/7664940059.html
1998 Toyota Tacoma,"$9,999",278k mi,Round Rock,12/09,https://austin.craigslist.org/cto/d/round-rock-1998-toyota-tacoma/7664937070.html
2018 Ford F150 F 150 F-150 XLT SuperCrew for only $465/mo!,"$25,998",117k mi,DAISY MOTOR GROUP,12/09,https://austin.craigslist.org/ctd/d/round-rock-2018-ford-f150-150-150-xlt/7664935445.html
2010 Lincoln MKX Premium Excellent,"$8,777",116k mi,Lakeway,12/09,https://austin.craigslist.org/cto/d/austin-2010-lincoln-mkx-premium/7664933806.html
Toyota RAV4 2009 For Sale,"$7,500",223k mi,Llano,12/09,https://austin.craigslist.org/cto/d/llano-toyota-rav-for-sale/7664930114.html
2007 Lexus RX350,"$4,800",230k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-2007-lexus-rx350/7664926706.html
"Dodge Ram 1500, HEMI 5.7 L, V8, 4x2, Year 2007.","$6,800",220k mi,Austin,12/09,https://austin.craigslist.org/cto/d/austin-dodge-ram-1500-hemi-57-v8-4x2/7664923560.html
2010 Mercedes Benz r350 132k miles CHEAP,"$6,000",132k mi,Kyle,12/09,https://austin.craigslist.org/cto/d/austin-2010-mercedes-benz-k-miles-cheap/7664917862.html
2016 KIA Optima Sdn LX for only $266/mo!,"$14,888",67k mi,DAISY MOTOR GROUP,12/09,https://austin.craigslist.org/ctd/d/round-rock-2016-kia-optima-sdn-lx-for/7664912605.html
94 4x4 as-is,$600,250k mi,Willow City,12/09,https://austin.craigslist.org/cto/d/willow-city-94-4x4-as-is/7664912314.html
JEEP RUBICON 4XE 2022 Hybrid,"$55,500",19k mi,Austin,12/09,https://austin.craigslist.org/cto/d/round-rock-jeep-rubicon-4xe-2022-hybrid/7664907756.html
13 GMC SIERRA 2500HD SLE - 4 WHEEL DRIVE! CREW CAB! TEXAS EDITION!,"$19,995",167k mi,AUSTIN,12/09,https://austin.craigslist.org/ctd/d/austin-13-gmc-sierra-2500hd-sle-wheel/7664891705.html
2004 Lexus RX330 ONE OWNER,"$3,900",286k mi,Liberty Hill,12/09,https://austin.craigslist.org/cto/d/liberty-hill-2004-lexus-rx330-one-owner/7664887693.html
2017 Ford F150 F 150 F-150 XLSuperCab 65 ft Box for only $393/mo!,"$21,998",115k mi,DAISY MOTOR GROUP,12/09,https://austin.craigslist.org/ctd/d/round-rock-2017-ford-f150-150-150/7664885257.html
2016 Jeep Patriot High Altitude,"$6,000",116k mi,Leander,12/09,https://austin.craigslist.org/cto/d/leander-2016-jeep-patriot-high-altitude/7664881934.html
2015 Jeep Wrangler SPORT 4X4,"$24,700",38k mi,Subaru of Georgetown,12/09,https://austin.craigslist.org/ctd/d/georgetown-2015-jeep-wrangler-sport-4x4/7664881706.html
2011 Chevy Equinox Runs Excellent No Issue!,"$4,700",194k mi,Georgetown,12/09,https://austin.craigslist.org/cto/d/georgetown-2011-chevy-equinox-runs/7664873098.html
2001 Lexus GS 300,"$2,700",220k mi,Kyle,12/09,https://austin.craigslist.org/cto/d/kyle-2001-lexus-gs-300/7664865484.html
1981 Ford PU longbed,"$1,000",80k mi,Round Rock,12/09,https://austin.craigslist.org/cto/d/round-rock-1981-ford-pu-longbed/7664864916.html
2020 Ford F-150 XLT,"$41,098",30k mi,Georgetown,12/09,https://austin.craigslist.org/ctd/d/georgetown-2020-ford-150-xlt/7664853004.html
2020 Hyundai Santa Fe SEL,"$24,201",60k mi,Georgetown,12/09,https://austin.craigslist.org/ctd/d/georgetown-2020-hyundai-santa-fe-sel/7664852892.html
2021 Ford F-150 XLT,"$45,171",22k mi,Georgetown,12/09,https://austin.craigslist.org/ctd/d/georgetown-2021-ford-150-xlt/7664852448.html
👉from $750 down✅2012 chevy MALIBU✅ 119 k low mile ★clean title★,"$6,590",119k mi,round rock,12/09,https://austin.craigslist.org/ctd/d/round-rock-from-750-down2012-chevy/7664851741.html
2022 Toyota Camry SE,"$26,956",29k mi,Georgetown,12/09,https://austin.craigslist.org/ctd/d/georgetown-2022-toyota-camry-se/7664851131.html
2019 Ford F250 XL STX 4X4,"$41,500",62k mi,Cedar Park/Leander,12/09,https://austin.craigslist.org/cto/d/cedar-park-2019-ford-f250-xl-stx-4x4/7664847924.html
FREE Shipping Carfax & Warranty '17 Dodge Caravan SXT Wheelchair Ha,"$26,995",132k mi,austin,12/09,https://austin.craigslist.org/ctd/d/wichita-free-shipping-carfax-warranty/7664847801.html
‘10 FORD F-150 X-CAB,"$6,950",150k mi,Marble Falls,12/09,https://austin.craigslist.org/ctd/d/marble-falls-10-ford-150-cab/7664843138.html
‘15 NISSAN SENTRA SL,"$1,950",100k mi,Marble Falls,12/09,https://austin.craigslist.org/ctd/d/marble-falls-15-nissan-sentra-sl/7664842976.html
‘16 NISSAN ALTIMA SR,"$4,975",83k mi,Marble Falls,12/09,https://austin.craigslist.org/ctd/d/marble-falls-16-nissan-altima-sr/7664842324.html
‘23 INTERNATIONAL MV ROLLBACK WRECKER,"$144,995","1,463mi",Marble Falls,12/09,https://austin.craigslist.org/ctd/d/marble-falls-23-international-mv/7664841012.html
‘99 CHEVROLET TAHOE,"$7,950",151k mi,Marble Falls,12/09,https://austin.craigslist.org/ctd/d/marble-falls-99-chevrolet-tahoe/7664840646.html
